" Select Shipping Method"," Pilih Metode Pengiriman"
"Debug","Debug"
"Debug Log","Debug Log"
"Email Sender","Email Pengirim"
"Enable","Diaktifkan"
"Error Log","Error Log"
"FPS Sandbox Service URI","FPS Sandbox Service URI"
"FPS Service URI","FPS Service URI"
"Immediate Return","Segera Kembali"
"Invalid action code.","Kode tindakan tidak valid."
"Invalid request.","Permintaan tidak valid."
"Invoice was created with Checkout by Amazon.","Tagihan dibuat dengan Checkout oleh Amazon."
"Merchant ID","ID Penjual"
"Merchant Login","Penjual Masuk"
"Merchant Name","Nama Penjual"
"Merchant Password","Kata sandi Penjual"
"Merchant Token","Token Penjual"
"Method Choice Checkout Message","Pilihan metode Pesan Checkout"
"New Order Notification received from Checkout by Amazon service.","Pemberitahuan Pesanan Baru diterima dari Checkout oleh Amazon service."
"New Order Status","Status Pesanan Baru"
"Notification Error Transactional Email","Kesalahan Pemberitahuan Email Transaksi"
"Order Ready To Ship Notification received form Checkout by Amazon service.","Pemberitahuan Pesanan Siap kirim diterima dari Checkout oleh Amazon service."
"Order was canceled with Checkout by Amazon.","Pesanan di batalkan dengan Checkout oleh Amazon."
"Payment Action","Langkah Pembayaran"
"Payment Description","Deskripsi Pembayaran"
"Payment Sandbox Service URI","Pembayaran Sandbox Service URI"
"Payment Service URI","Pembayaran Service URI"
"Payment authorization canceled with Amazon Simple Pay service.","Otorisasi pembayaran dibatalkan dengan Amazon Simple Pay service."
"Pending Amazon Simple Pay","Amazon Simple Pay Tertunda"
"Redirect Message","Pesan Dialihkan"
"Refund Description","Deskripsi Pengembalian"
"Refund was created with Checkout by Amazon.","Pengembalian dibuat dengan Checkout oleh Amazon."
"Report Email","Laporkan Email"
"Report Error to Email","Laporkan Kesalahan ke Email"
"Response body is not a valid FPS response.","Response body bukan FPS response yang benar."
"SUCCESS","SUKSES"
"Sandbox","Sandbox"
"Secret Key","Key Rahasia"
"Secret Key ID","ID Key Rahasia"
"Shipment was created with Checkout by Amazon.","Pengiriman telah dibuat dengan Checkout oleh Amazon."
"Thank you for your purchase!","Terimakasih atas pembeliannya!"
"The customer has canceled payment and successfully returned from Amazon Simple Pay site","Pelanggan telah membatalkan pembayaran dan berhasil kembali dari Amazon Simple Pay site"
"The customer has successfully returned from Amazon Simple Pay site","Pelanggan telah berhasil kembali dari Amazon Simple Pay site"
"The invoice was created (online capture). Waiting for capture confirmation from Amazon Simple Pay service.","Tagihan telah dibuat (online capture). Menunggu konfirmasi capture dari Amazon Simple Pay service."
"The invoice was not refunded. Amazon Simple Pay service error: [%s] %s","Tagihan tidak dikembalikan. Kesalahan pada Amazon Simple Pay service: [%s] %s"
"The item specified in callback request XML was not found in quote.","Item yang ditentukan pada permintaan callback XML tidak dapat ditemukan pada quote."
"The order was not canceled. Amazon Simple Pay service error: [%s] %s","Pesanan tidak ter-batalkan. Kesalahan pada Amazon Simple Pay service: [%s] %s"
"The order was not captured online. Authorization confirmation is required.","Pesanan tidak ter-capture secara online. Konfirmasi otoritas dibutuhkan."
"The order was not captured. Amazon Simple Pay service error: [%s] %s","Pesanan tidak ter-capture. Kesalahan pada Amazon Simple Pay service: [%s] %s"
"The payment was captured online with Amazon Simple Pay service. The invoice was created. Waiting for capture confirmation from the payment service.","Pembayaran telah ter-capture secara online dengan Amazon Simple Pay service. Tagihan telah dibuat. Menunggu konfirmasi capture dari service pembayaran."
"The payment was refunded online with Amazon Simple Pay service. The credit memo was created. Waiting for refund confirmation from Amazon Simple Pay service.","Pembayaran telah dikembalikan secara online dengan Amazon Simple Pay service. Credit memo telah dibuat. Menunggu konfirmasi pengembalian dari Amazon Simple Pay service."
"The payment was refunded online. Waiting for refund confirmation from Amazon Simple Pay service.","Pembayaran telah dikembalikan secara online. Menunggu konfirmasi pengembalian dari Amazon Simple Pay service."
"The request is not a valid IPN request.","Permintaan bukalan permintaan IPN yang benar."
"The request was signed incorrectly or the signature is missing.","Permintaan ditandai dengan tidak valid atau tanda tangan anda hilang."
"Title","Judul"
"Use Callback API","Gunakan Callback API"
"You will be redirected to Checkout by Amazon in a few seconds.","Sesaat lagi anda akan dialihkan ke Checkout oleh Amazon."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Anda akan menerima email konfirmasi dengan detail pesanan anda dan link untuk melacak perkembangannya."
"You will receive an order confirmation email with details of your order and a link to track its progress.<br/>","Anda akan menerima email konfirmasi dengan detail pesanan anda dan link untuk melacak perkembangannya.<br/>"
"Your billing address will be ignored and you will be redirected to Checkout by Amazon website.","Alamat penagihan anda akan diabaikan dan kemudian anda akan dialikan ke Checkout oleh Amazon website."
"Your order has been received.","Pesanan anda telah diterima."
